"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test transformer inference with greedy search.","843","test_preds_with_greedy","tests.unit_test.transformer_test","Fri Dec 05 19:53:51 UTC 2025","passed","Fri Dec 05 19:53:52 UTC 2025","","predict_test","",""
"Test the 'predict' command of the instanovo_cli with no output path.","173","test_no_output_path[args2]","tests.unit_test","Fri Dec 05 19:54:20 UTC 2025","passed","Fri Dec 05 19:54:20 UTC 2025","","cli_test","",""
"Test transformer inference for mzML input.","806","test_mzml_preds","tests.unit_test.transformer_test","Fri Dec 05 19:53:49 UTC 2025","passed","Fri Dec 05 19:53:50 UTC 2025","","predict_test","",""
"Test when MPS is requested but force_cpu is True.","5","test_mps_requested_but_force_cpu_set","tests.unit_test.utils_test","Fri Dec 05 19:53:56 UTC 2025","passed","Fri Dec 05 19:53:56 UTC 2025","TestValidateAndConfigureDevice","device_handler_test","",""
"Test the transformer training function with different run configurations.","30692","test_train","tests.unit_test.transformer_test","Fri Dec 05 19:53:00 UTC 2025","passed","Fri Dec 05 19:53:31 UTC 2025","","train_test","",""
"Test configuration updates for CUDA device.","1","test_cuda_config_updates","tests.unit_test.utils_test","Fri Dec 05 19:53:56 UTC 2025","passed","Fri Dec 05 19:53:56 UTC 2025","TestGetDeviceConfigUpdates","device_handler_test","",""
"Test data handler error catching.","2","test_errors","tests.unit_test.utils_test","Fri Dec 05 19:52:56 UTC 2025","passed","Fri Dec 05 19:52:56 UTC 2025","","data_handler_test","",""
"Test residue encoder.","1","test_encoder","tests.unit_test.utils_test","Fri Dec 05 19:53:36 UTC 2025","passed","Fri Dec 05 19:53:36 UTC 2025","","residues_test","",""
"Test the 'predict' command of the instanovo_cli with no data path.","182","test_no_data_path[args0]","tests.unit_test","Fri Dec 05 19:54:07 UTC 2025","passed","Fri Dec 05 19:54:08 UTC 2025","","cli_test","",""
"Test when CUDA is not available and force_cpu is False.","15","test_cuda_not_available_no_force_cpu","tests.unit_test.utils_test","Fri Dec 05 19:53:56 UTC 2025","passed","Fri Dec 05 19:53:56 UTC 2025","TestValidateAndConfigureDevice","device_handler_test","",""
"Test the main command help text is displayed.","24","test_main_help[args0-Run predictions with InstaNovo and optionally with InstaNovo+.]","tests.unit_test","Fri Dec 05 19:54:20 UTC 2025","passed","Fri Dec 05 19:54:20 UTC 2025","","cli_test","",""
"Test peptide tokenizer.","0","test_tokenize","tests.unit_test.utils_test","Fri Dec 05 19:53:36 UTC 2025","passed","Fri Dec 05 19:53:36 UTC 2025","","residues_test","",""
"Test applying config for CPU device.","0","test_apply_config_cpu_device","tests.unit_test.utils_test","Fri Dec 05 19:53:56 UTC 2025","passed","Fri Dec 05 19:53:56 UTC 2025","TestApplyDeviceConfig","device_handler_test","",""
"Test when CUDA is available.","4","test_cuda_available","tests.unit_test.utils_test","Fri Dec 05 19:53:56 UTC 2025","passed","Fri Dec 05 19:53:56 UTC 2025","TestGetDeviceCapabilities","device_handler_test","",""
"Tests setting of GCP credentials.","7","test_set_credentials","tests.unit_test.scripts_test","Fri Dec 05 19:52:56 UTC 2025","passed","Fri Dec 05 19:52:56 UTC 2025","","set_gcp_credentials_test","",""
"Test the 'predict' command of the instanovo_cli.","1083","test_predict_transformer_pipeline","tests.unit_test","Fri Dec 05 19:54:17 UTC 2025","passed","Fri Dec 05 19:54:18 UTC 2025","","cli_test","",""
"Test linear warmup scheduler.","4114","test_warmup_scheduler","tests.unit_test.transformer_test","Fri Dec 05 19:52:56 UTC 2025","passed","Fri Dec 05 19:53:00 UTC 2025","","train_test","",""
"Tests s3 creation.","430","test_create_s3fs","tests.unit_test.utils_test","Fri Dec 05 19:53:46 UTC 2025","passed","Fri Dec 05 19:53:46 UTC 2025","","s3_test","",""
"Test residue set initialisation.","0","test_init","tests.unit_test.utils_test","Fri Dec 05 19:53:36 UTC 2025","passed","Fri Dec 05 19:53:36 UTC 2025","","residues_test","",""
"Test device detection when only MPS is available.","2","test_detect_mps","tests.unit_test.utils_test","Fri Dec 05 19:53:56 UTC 2025","passed","Fri Dec 05 19:53:56 UTC 2025","TestDetectDevice","device_handler_test","",""
"Test that CUDA is preferred over MPS when both are available.","2","test_cuda_priority_over_mps","tests.unit_test.utils_test","Fri Dec 05 19:53:56 UTC 2025","passed","Fri Dec 05 19:53:56 UTC 2025","TestDetectDevice","device_handler_test","",""
"Test the 'predict' command of the instanovo plus cli with a non existing file.","179","test_instanovoplus_model[args0-.yaml-\\*.ckpt, \\*.pt]","tests.unit_test","Fri Dec 05 19:54:13 UTC 2025","passed","Fri Dec 05 19:54:13 UTC 2025","","cli_test","",""
"Test peptide metric class initialisation.","1","test_init_metrics","tests.unit_test.utils_test","Fri Dec 05 19:53:36 UTC 2025","passed","Fri Dec 05 19:53:36 UTC 2025","","metrics_test","",""
"Test the 'predict' command of the instanovo_cli with a nonexisting data path.","192","test_nonexisting_data_path[args1]","tests.unit_test","Fri Dec 05 19:54:12 UTC 2025","passed","Fri Dec 05 19:54:12 UTC 2025","","cli_test","",""
"Test the neptune summary writer function.","4","test_neptune_summary_writer","tests.unit_test.transformer_test","Fri Dec 05 19:53:00 UTC 2025","passed","Fri Dec 05 19:53:00 UTC 2025","","train_test","",""
"Tests conversion of local directory to s3 output path using S3FileHandler.","3","test_s3_file_handler_convert_to_s3_output","tests.unit_test.utils_test","Fri Dec 05 19:53:46 UTC 2025","passed","Fri Dec 05 19:53:46 UTC 2025","","s3_test","",""
"Test the 'predict' command of the instanovo_cli.","1055","test_predict_transformer","tests.unit_test","Fri Dec 05 19:54:11 UTC 2025","passed","Fri Dec 05 19:54:12 UTC 2025","","cli_test","",""
"Test the 'predict' command of the instanovo cli with a file with a non-supported suffix.","176","test_instanovo_model_suffix[args0]","tests.unit_test","Fri Dec 05 19:54:16 UTC 2025","passed","Fri Dec 05 19:54:16 UTC 2025","","cli_test","",""
"Tests recall calculation at specified FDR.","9","test_find_recall_at_fdr","tests.unit_test.utils_test","Fri Dec 05 19:53:36 UTC 2025","passed","Fri Dec 05 19:53:36 UTC 2025","","metrics_test","",""
"Test transformer inference when dropping a row.","1819","test_row_drop","tests.unit_test.transformer_test","Fri Dec 05 19:53:46 UTC 2025","passed","Fri Dec 05 19:53:48 UTC 2025","","predict_test","",""
"Test the 'predict' command of the instanovo_cli with a nonexisting data path.","175","test_nonexisting_data_path[args2]","tests.unit_test","Fri Dec 05 19:54:16 UTC 2025","passed","Fri Dec 05 19:54:16 UTC 2025","","cli_test","",""
"Test successful download of a Zenodo record.","5","test_get_zenodo_success","tests.scripts","Fri Dec 05 19:53:45 UTC 2025","passed","Fri Dec 05 19:53:45 UTC 2025","TestZenodoDownload","get_zenodo_record_test","",""
"Test applying config with auto-detected device.","3","test_apply_config_auto_detect","tests.unit_test.utils_test","Fri Dec 05 19:53:56 UTC 2025","passed","Fri Dec 05 19:53:56 UTC 2025","TestApplyDeviceConfig","device_handler_test","",""
"Test mzxml to parquet conversion.","17","test_mzxml_to_parquet","tests.unit_test.utils_test","Fri Dec 05 19:52:56 UTC 2025","passed","Fri Dec 05 19:52:56 UTC 2025","","data_handler_test","",""
"Tests amino acid mass sum.","0","test_mass","tests.unit_test.utils_test","Fri Dec 05 19:53:36 UTC 2025","passed","Fri Dec 05 19:53:36 UTC 2025","","metrics_test","",""
"Test downloading file from s3 using S3FileHandler.","5","test_s3_file_handler_download","tests.unit_test.utils_test","Fri Dec 05 19:53:46 UTC 2025","passed","Fri Dec 05 19:53:46 UTC 2025","","s3_test","",""
"Test full workflow on a system with MPS.","5","test_full_workflow_mps_system","tests.unit_test.utils_test","Fri Dec 05 19:53:56 UTC 2025","passed","Fri Dec 05 19:53:56 UTC 2025","TestIntegration","device_handler_test","",""
"Test positional encoding specified initialisation.","1","test_pos_enc_spec","tests.unit_test.transformer_test","Fri Dec 05 19:52:38 UTC 2025","passed","Fri Dec 05 19:52:38 UTC 2025","","layers_test","",""
"Test spectrum data frame properties.","1","test_properties","tests.unit_test.utils_test","Fri Dec 05 19:52:56 UTC 2025","passed","Fri Dec 05 19:52:56 UTC 2025","","data_handler_test","",""
"Test with empty configuration.","1","test_empty_config","tests.unit_test.utils_test","Fri Dec 05 19:53:56 UTC 2025","passed","Fri Dec 05 19:53:56 UTC 2025","TestEdgeCases","device_handler_test","",""
"Test spectrum dataset default initialisation.","640","test_dataset_default_init","tests.unit_test.transformer_test","Fri Dec 05 19:52:55 UTC 2025","passed","Fri Dec 05 19:52:56 UTC 2025","","dataset_test","",""
"Test CLI with different parameters.","7","test_cli_with_different_parameters[https://zenodo.org/records/12345/files/test.zip-other.zip-./other]","tests.scripts","Fri Dec 05 19:53:45 UTC 2025","passed","Fri Dec 05 19:53:45 UTC 2025","","get_zenodo_record_test","",""
"Test handling of a bad zip file.","2","test_unzip_zenodo_bad_zipfile","tests.scripts","Fri Dec 05 19:53:45 UTC 2025","passed","Fri Dec 05 19:53:45 UTC 2025","TestZenodoDownload","get_zenodo_record_test","",""
"Test main method call.","4","test_main","tests.unit_test.scripts_test","Fri Dec 05 19:52:56 UTC 2025","passed","Fri Dec 05 19:52:56 UTC 2025","","update_ipc_format_test","",""
"Test successful extraction of a zip file.","5","test_unzip_zenodo_success","tests.scripts","Fri Dec 05 19:53:46 UTC 2025","passed","Fri Dec 05 19:53:46 UTC 2025","TestZenodoDownload","get_zenodo_record_test","",""
"Test when neither CUDA nor MPS are available.","4","test_neither_available","tests.unit_test.utils_test","Fri Dec 05 19:53:56 UTC 2025","passed","Fri Dec 05 19:53:56 UTC 2025","TestGetDeviceCapabilities","device_handler_test","",""
"Tests calculation of peptide-level AUC.","82","test_calc_auc","tests.unit_test.utils_test","Fri Dec 05 19:53:36 UTC 2025","passed","Fri Dec 05 19:53:36 UTC 2025","","metrics_test","",""
"Test applying config with specified device.","1","test_apply_config_specified_device","tests.unit_test.utils_test","Fri Dec 05 19:53:56 UTC 2025","passed","Fri Dec 05 19:53:56 UTC 2025","TestApplyDeviceConfig","device_handler_test","",""
"Test knapsack beam search decoder initialisation.","4404","test_init","tests.unit_test.inference_test","Fri Dec 05 19:54:21 UTC 2025","passed","Fri Dec 05 19:54:25 UTC 2025","","knapsack_beam_search_test","",""
"Test the 'predict' command of the instanovo_cli with a nonexisting instanovo model.","174","test_model[args0-InstaNovo]","tests.unit_test","Fri Dec 05 19:54:20 UTC 2025","passed","Fri Dec 05 19:54:20 UTC 2025","","cli_test","",""
"Test the 'predict' command of the instanovo_cli with a nonexisting config name.","19","test_predict_nonexisting_config_name[cli1]","tests.unit_test","Fri Dec 05 19:54:16 UTC 2025","passed","Fri Dec 05 19:54:16 UTC 2025","","cli_test","",""
"Test device detection when neither CUDA nor MPS are available.","1","test_detect_cpu","tests.unit_test.utils_test","Fri Dec 05 19:53:56 UTC 2025","passed","Fri Dec 05 19:53:56 UTC 2025","TestDetectDevice","device_handler_test","",""
"Test greedy decoder decode function.","79","test_decode","tests.unit_test.inference_test","Fri Dec 05 19:53:36 UTC 2025","passed","Fri Dec 05 19:53:36 UTC 2025","","greedy_search_test","",""
"Test transformer inference with knapsack beam search.","951","test_preds_with_knapsack","tests.unit_test.transformer_test","Fri Dec 05 19:53:50 UTC 2025","passed","Fri Dec 05 19:53:51 UTC 2025","","predict_test","",""
"Test spectrum data frame parquet creation and initialisation.","21","test_parquet_init","tests.unit_test.utils_test","Fri Dec 05 19:52:56 UTC 2025","passed","Fri Dec 05 19:52:56 UTC 2025","","data_handler_test","",""
"Test spectrum preprocessing.","15921","test_process_peaks","tests.unit_test.transformer_test","Fri Dec 05 19:52:39 UTC 2025","passed","Fri Dec 05 19:52:55 UTC 2025","","dataset_test","",""
"Test loading an InstaNovo+ model and doing inference end-to-end.","4379","test_model","tests.integration","Fri Dec 05 19:54:03 UTC 2025","passed","Fri Dec 05 19:54:07 UTC 2025","","instanovoplus_model_test","",""
"Test the 'predict' command of the instanovo plus cli with a non existing file.","176","test_instanovoplus_model[args0-.pt-\\*.ckpt, \\*.yaml]","tests.unit_test","Fri Dec 05 19:54:16 UTC 2025","passed","Fri Dec 05 19:54:16 UTC 2025","","cli_test","",""
"Test incorrect file type error catching.","1","test_incorrect_file_error","tests.unit_test.scripts_test","Fri Dec 05 19:52:56 UTC 2025","passed","Fri Dec 05 19:52:56 UTC 2025","","update_ipc_format_test","",""
"Test getting local path for missing s3 file using S3FileHandler.","3","test_s3_file_handler_get_local_path_missing","tests.unit_test.utils_test","Fri Dec 05 19:53:46 UTC 2025","passed","Fri Dec 05 19:53:46 UTC 2025","","s3_test","",""
"Tests splitting of peptide.","1","test_split_peptide","tests.unit_test.utils_test","Fri Dec 05 19:53:36 UTC 2025","passed","Fri Dec 05 19:53:36 UTC 2025","","metrics_test","",""
"Test the 'diffusion predict' command of the instanovo_cli.","3285","test_predict_diffusion","tests.unit_test","Fri Dec 05 19:54:08 UTC 2025","passed","Fri Dec 05 19:54:11 UTC 2025","","cli_test","",""
"Test spectrum data frame basic initialisation.","0","test_init","tests.unit_test.utils_test","Fri Dec 05 19:52:56 UTC 2025","passed","Fri Dec 05 19:52:56 UTC 2025","","data_handler_test","",""
"Test data checker.","2","test_check_type_spec","tests.unit_test.utils_test","Fri Dec 05 19:52:56 UTC 2025","passed","Fri Dec 05 19:52:56 UTC 2025","","data_handler_test","",""
"Test the 'predict' command of the instanovo_cli.","1932","test_predict","tests.unit_test","Fri Dec 05 19:54:18 UTC 2025","passed","Fri Dec 05 19:54:20 UTC 2025","","cli_test","",""
"Test device detection when CUDA is available.","1","test_detect_cuda","tests.unit_test.utils_test","Fri Dec 05 19:53:56 UTC 2025","passed","Fri Dec 05 19:53:56 UTC 2025","TestDetectDevice","device_handler_test","",""
"Test the 'predict' command of the instanovo_cli with different input files.","1998","test_transformer_predict","tests.unit_test","Fri Dec 05 19:54:13 UTC 2025","passed","Fri Dec 05 19:54:15 UTC 2025","","cli_test","",""
"Test multi scale peak embedding initialisation.","2","test_peak_embed","tests.unit_test.transformer_test","Fri Dec 05 19:52:38 UTC 2025","passed","Fri Dec 05 19:52:38 UTC 2025","","layers_test","",""
"Test the 'predict' command of the instanovo_cli with a nonexisting instanovo model.","176","test_model[args2-InstaNovo]","tests.unit_test","Fri Dec 05 19:54:13 UTC 2025","passed","Fri Dec 05 19:54:13 UTC 2025","","cli_test","",""
"Test training an InstaNovo model and doing inference end-to-end.","0","test_train_model","tests.integration","Fri Dec 05 19:52:56 UTC 2025","skipped","Fri Dec 05 19:52:56 UTC 2025","","instanovo_model_train_test","",""
"Test fetching item at specified index.","3","test_get_item","tests.unit_test.utils_test","Fri Dec 05 19:52:56 UTC 2025","passed","Fri Dec 05 19:52:56 UTC 2025","","data_handler_test","",""
"Test knapsack creation, loading, and functionality.","4537","test_knapsack","tests.integration","Fri Dec 05 19:53:31 UTC 2025","passed","Fri Dec 05 19:53:36 UTC 2025","","knapsack_test","",""
"Test the main command help text is displayed.","156","test_main_help[args1-Run predictions with InstaNovo and optionally with InstaNovo+.]","tests.unit_test","Fri Dec 05 19:54:13 UTC 2025","passed","Fri Dec 05 19:54:13 UTC 2025","","cli_test","",""
"Test configuration updates for MPS device.","0","test_mps_config_updates","tests.unit_test.utils_test","Fri Dec 05 19:53:56 UTC 2025","passed","Fri Dec 05 19:53:56 UTC 2025","TestGetDeviceConfigUpdates","device_handler_test","",""
"Test check_device with None config.","2","test_check_device_none_config","tests.unit_test.utils_test","Fri Dec 05 19:53:56 UTC 2025","passed","Fri Dec 05 19:53:56 UTC 2025","TestCheckDeviceBackwardCompatibility","device_handler_test","",""
"Test the 'predict' command of the instanovo_cli with a nonexisting config path.","16","test_predict_nonexisting_config_path[cli0]","tests.unit_test","Fri Dec 05 19:54:20 UTC 2025","passed","Fri Dec 05 19:54:20 UTC 2025","","cli_test","",""
"Test multi scale peak embedding errors.","2","test_peak_embed_errors","tests.unit_test.transformer_test","Fri Dec 05 19:52:38 UTC 2025","passed","Fri Dec 05 19:52:38 UTC 2025","","layers_test","",""
"Test the 'predict' command of the instanovo_cli with a nonexisting data path.","175","test_nonexisting_data_path[args0]","tests.unit_test","Fri Dec 05 19:54:16 UTC 2025","passed","Fri Dec 05 19:54:16 UTC 2025","","cli_test","",""
"Test residue decoder.","1","test_decoder","tests.unit_test.utils_test","Fri Dec 05 19:53:36 UTC 2025","passed","Fri Dec 05 19:53:36 UTC 2025","","residues_test","",""
"Test sanitise peptide sequence.","0","test_sanitise_peptides","tests.unit_test.utils_test","Fri Dec 05 19:52:56 UTC 2025","passed","Fri Dec 05 19:52:56 UTC 2025","","data_handler_test","",""
"Test get length.","0","test_length","tests.unit_test.utils_test","Fri Dec 05 19:52:56 UTC 2025","passed","Fri Dec 05 19:52:56 UTC 2025","","data_handler_test","",""
"Test the 'predict' command of the instanovo_cli with a nonexisting instanovo model.","175","test_model[args1-InstaNovo]","tests.unit_test","Fri Dec 05 19:54:13 UTC 2025","passed","Fri Dec 05 19:54:13 UTC 2025","","cli_test","",""
"Test residue set remapping update.","1","test_update_remapping","tests.unit_test.utils_test","Fri Dec 05 19:53:36 UTC 2025","passed","Fri Dec 05 19:53:36 UTC 2025","","residues_test","",""
"Test mgf to parquet conversion where no scan number column is present.","9","test_mgf_to_parquet_no_scan_number","tests.unit_test.utils_test","Fri Dec 05 19:52:56 UTC 2025","passed","Fri Dec 05 19:52:56 UTC 2025","","data_handler_test","",""
"Test the setting of the neptune API variable.","9","test_set_neptune_token","tests.unit_test.transformer_test","Fri Dec 05 19:52:56 UTC 2025","passed","Fri Dec 05 19:52:56 UTC 2025","","train_test","",""
"Test loading an InstaNovo model and doing inference end-to-end.","1579","test_transformer_model","tests.integration","Fri Dec 05 19:53:53 UTC 2025","passed","Fri Dec 05 19:53:55 UTC 2025","","instanovo_model_test","",""
"Test the 'predict' command of the instanovo_cli with no output path.","176","test_no_output_path[args0]","tests.unit_test","Fri Dec 05 19:54:16 UTC 2025","passed","Fri Dec 05 19:54:17 UTC 2025","","cli_test","",""
"Test spectrum data frame lazy loading.","14","test_lazy","tests.unit_test.utils_test","Fri Dec 05 19:52:56 UTC 2025","passed","Fri Dec 05 19:52:56 UTC 2025","","data_handler_test","",""
"Test the 'predict' command of the instanovo_cli with a nonexisting config name.","18","test_predict_nonexisting_config_name[cli2]","tests.unit_test","Fri Dec 05 19:54:20 UTC 2025","passed","Fri Dec 05 19:54:20 UTC 2025","","cli_test","",""
"Test applying config when model section already exists.","1","test_apply_config_existing_model_section","tests.unit_test.utils_test","Fri Dec 05 19:53:56 UTC 2025","passed","Fri Dec 05 19:53:56 UTC 2025","TestApplyDeviceConfig","device_handler_test","",""
"Test residue mass.","0","test_get_mass","tests.unit_test.utils_test","Fri Dec 05 19:53:36 UTC 2025","passed","Fri Dec 05 19:53:36 UTC 2025","","residues_test","",""
"Test knapsack beam search decoder loader.","235","test_from_file","tests.unit_test.inference_test","Fri Dec 05 19:54:21 UTC 2025","passed","Fri Dec 05 19:54:21 UTC 2025","","knapsack_beam_search_test","",""
"Test spectrum data frame specified initialisation.","2","test_spec_init","tests.unit_test.utils_test","Fri Dec 05 19:52:56 UTC 2025","passed","Fri Dec 05 19:52:56 UTC 2025","","data_handler_test","",""
"Test InstaNovo model initialisation and methods.","1683","test_model_init","tests.unit_test.transformer_test","Fri Dec 05 19:53:56 UTC 2025","passed","Fri Dec 05 19:53:57 UTC 2025","","model_test","",""
"Test the 'predict' command of the instanovo cli with a file with a non-supported suffix.","193","test_instanovo_model_suffix[args1]","tests.unit_test","Fri Dec 05 19:54:20 UTC 2025","passed","Fri Dec 05 19:54:20 UTC 2025","","cli_test","",""
"Test successful execution of the CLI command.","10","test_cli_successful_execution","tests.scripts","Fri Dec 05 19:53:45 UTC 2025","passed","Fri Dec 05 19:53:45 UTC 2025","TestMainCommand","get_zenodo_record_test","",""
"Test getting local path for s3 file using S3FileHandler.","6","test_s3_file_handler_get_local_path","tests.unit_test.utils_test","Fri Dec 05 19:53:46 UTC 2025","passed","Fri Dec 05 19:53:46 UTC 2025","","s3_test","",""
"Test spectrum dataset error catching.","15","test_spectrum_errors","tests.unit_test.transformer_test","Fri Dec 05 19:52:55 UTC 2025","passed","Fri Dec 05 19:52:55 UTC 2025","","dataset_test","",""
"Test CLI skips download when target directory exists with matching record ID.","3","test_cli_skips_when_directory_exists","tests.scripts","Fri Dec 05 19:53:45 UTC 2025","passed","Fri Dec 05 19:53:45 UTC 2025","TestMainCommand","get_zenodo_record_test","",""
"Test full workflow on a CPU-only system.","5","test_full_workflow_cpu_only_system","tests.unit_test.utils_test","Fri Dec 05 19:53:56 UTC 2025","passed","Fri Dec 05 19:53:56 UTC 2025","TestIntegration","device_handler_test","",""
"Test check_device with config parameter.","2","test_check_device_with_config","tests.unit_test.utils_test","Fri Dec 05 19:53:56 UTC 2025","passed","Fri Dec 05 19:53:56 UTC 2025","TestCheckDeviceBackwardCompatibility","device_handler_test","",""
"Test training an InstaNovo model and doing inference end-to-end.","0","test_train_model","tests.integration","Fri Dec 05 19:53:57 UTC 2025","skipped","Fri Dec 05 19:53:57 UTC 2025","","instanovoplus_model_train_test","",""
"Test the version command.","20","test_version_command","tests.unit_test","Fri Dec 05 19:54:21 UTC 2025","passed","Fri Dec 05 19:54:21 UTC 2025","","cli_test","",""
"Test positional encoding default initialisation.","2","test_pos_enc","tests.unit_test.transformer_test","Fri Dec 05 19:52:38 UTC 2025","passed","Fri Dec 05 19:52:38 UTC 2025","","layers_test","",""
